id	parentId	type	text	options	target	signal
A1_Q3_EXT	A1_D1	question	If you could rewind to one moment today where you felt stuck — and give yourself one honest piece of perspective — what would it be?	[{"label": "There was probably more I could have done — I just didn't see it then", "target": "A1_R2_MID", "signal": "axis1:internal"}, {"label": "I needed someone to help me and didn't ask", "target": "A1_R2_MID", "signal": "axis1:internal"}, {"label": "The situation really was constrained — but my reaction made it worse", "target": "A1_R2_MID", "signal": "axis1:external"}, {"label": "I don't think the outcome would have changed regardless of what I did", "target": "A1_R2_EXT", "signal": "axis1:external"}]		
A1_R2_INT	A1_Q3_INT	reflection	There's a specific kind of strength in letting go of what you can't control — not as resignation, but as a way of preserving energy for what you can. That's not passivity. That's discernment. You practiced it today, at least in part.	[{"label": "Continue", "target": "BRIDGE_1"}]		axis1:internal
A1_R2_MID	A1_Q3_EXT	reflection	Seeing where your response added friction — even when the situation was genuinely hard — is one of the more uncomfortable forms of self-awareness. It doesn't mean you were wrong to feel what you felt. It means you're starting to separate the event from your interpretation of it.	[{"label": "Continue", "target": "BRIDGE_1"}]		axis1:mixed
A1_R2_EXT	A1_Q3_EXT	reflection	Sometimes outcomes really don't change. What does change is what you learn about your own response patterns. Noticing that "I wouldn't have done anything differently" is itself data — it tells you something about where your ceiling of agency currently sits.	[{"label": "Continue", "target": "BRIDGE_1"}]		axis1:external
BRIDGE_1	A1_R2_INT	bridge	Axis 1 complete. You've looked at how you relate to your own agency today. Now we shift. The next axis isn't about what you could control — it's about what you chose to give.	[{"label": "Continue", "target": "A2_INTRO"}]		
A2_INTRO	BRIDGE_1	reflection	Axis 2 of 3: Orientation. Every day at work, there's an invisible ledger. Some people are quietly tracking what they're owed. Others are thinking about what they can put in. Most of us do both — the question is which direction the weight falls.	[{"label": "Continue", "target": "A2_Q1"}]		
A2_Q1	A2_INTRO	question	When you think about the energy you spent today — what motivated most of it?	[{"label": "Getting something done that I cared about completing well", "target": "A2_R1_CONT", "signal": "axis2:contribution"}, {"label": "Making sure I was seen as contributing — recognition mattered to me today", "target": "A2_R1_ENT", "signal": "axis2:entitlement"}, {"label": "Helping someone else make progress, even when it slowed me down", "target": "A2_R1_CONT", "signal": "axis2:contribution"}, {"label": "Feeling like I was doing more than my share and not sure it was worth it", "target": "A2_R1_ENT", "signal": "axis2:entitlement"}, {"label": "A mix — some of each depending on the task", "target": "A2_R1_MID", "signal": "axis2:contribution"}]		
A2_R1_CONT	A2_Q1	reflection	Intrinsic motivation — caring about the work itself, or the person it helps — is the quiet engine of high-functioning teams. It doesn't announce itself. That's partly what makes it valuable: it doesn't depend on being seen.	[{"label": "Continue", "target": "A2_Q2_CONT"}]		axis2:contribution
A2_R1_ENT	A2_Q1	reflection	The desire for recognition is human, and not inherently problematic. What's worth examining is whether the recognition became the goal — because when the ledger becomes "what I'm owed," effort gets contingent on return. That's a slow leak in both motivation and relationships.	[{"label": "Continue", "target": "A2_Q2_ENT"}]		axis2:entitlement
A2_R1_MID	A2_Q1	reflection	Most people operate in this mixed space — some work feels meaningful, some feels transactional. The useful question isn't "which one am I?" but "which direction do I lean when things get hard?"	[{"label": "Continue", "target": "A2_Q2_ENT"}]		axis2:contribution
A2_Q2_CONT	A2_R1_CONT	question	Was there a moment today where you did something that cost you — in time, energy, or credit — but you did it anyway?	[{"label": "Yes — and I don't regret it", "target": "A2_D1", "signal": "axis2:contribution"}, {"label": "Yes — and honestly, I'm a little resentful it went unnoticed", "target": "A2_D1", "signal": "axis2:entitlement"}, {"label": "No — I stayed within my lane today", "target": "A2_D1", "signal": "axis2:contribution"}, {"label": "I wanted to, but the cost felt too high given everything else", "target": "A2_D1", "signal": "axis2:contribution"}]		
A2_Q2_ENT	A2_R1_ENT	question	Think about a moment today when you felt the work wasn't being valued fairly. What did that feeling do to how you showed up afterward?	[{"label": "I pulled back — why give more if it won't be acknowledged?", "target": "A2_D1", "signal": "axis2:entitlement"}, {"label": "I kept going but it left a residue — harder to feel engaged", "target": "A2_D1", "signal": "axis2:entitlement"}, {"label": "I noticed the feeling and tried not to let it change my effort", "target": "A2_D1", "signal": "axis2:contribution"}, {"label": "I don't think I had that moment — or if I did, it didn't land hard", "target": "A2_D1", "signal": "axis2:contribution"}]		
A2_D1	A2_Q2_CONT	decision	[Route based on axis2 signal dominance]	[]	A2_Q3_CONT	
A2_Q3_CONT	A2_D1	question	If the people you worked with today could describe your orientation — what's the most accurate thing they'd say?	[{"label": "She/he was trying to make things work for the team", "target": "A2_R2_CONT", "signal": "axis2:contribution"}, {"label": "She/he was focused and got their own work done", "target": "A2_R2_MID", "signal": "axis2:contribution"}, {"label": "Hard to tell — she/he was present but somewhat guarded", "target": "A2_R2_ENT", "signal": "axis2:entitlement"}, {"label": "She/he seemed frustrated about how things were going for them", "target": "A2_R2_ENT", "signal": "axis2:entitlement"}]		
A2_Q3_ENT	A2_D1	question	If you're honest — was there a moment today where you held something back that you could have offered? A piece of knowledge, a hand, an effort?	[{"label": "Yes — and looking back, I'm not sure that was the right call", "target": "A2_R2_MID", "signal": "axis2:contribution"}, {"label": "Yes — I was protecting my bandwidth and that felt necessary", "target": "A2_R2_ENT", "signal": "axis2:entitlement"}, {"label": "No — I gave what I had", "target": "A2_R2_CONT", "signal": "axis2:contribution"}, {"label": "I'm not sure — I didn't think about it in those terms at the time", "target": "A2_R2_MID", "signal": "axis2:contribution"}]		
A2_R2_CONT	A2_Q3_CONT	reflection	Contribution that isn't contingent on return is one of the rarer things in a workplace. It's not selfless in a naive way — it's a choice rooted in understanding that the environment you contribute to is also the environment you work inside.	[{"label": "Continue", "target": "BRIDGE_2"}]		axis2:contribution
A2_R2_ENT	A2_Q3_CONT	reflection	There's a version of self-protection that's entirely rational — you can't give what you don't have. But there's another version that quietly calculates whether effort will be rewarded before extending it. It's worth knowing which one was operating today.	[{"label": "Continue", "target": "BRIDGE_2"}]		axis2:entitlement
A2_R2_MID	A2_Q3_ENT	reflection	The gap between what we offered and what we could have offered is often invisible to us in the moment. Noticing it afterward — without judgment — is actually a form of growth. The question for tomorrow is: what would it have cost you to close that gap a little?	[{"label": "Continue", "target": "BRIDGE_2"}]		axis2:mixed
BRIDGE_2	A2_R2_CONT	bridge	Axis 2 complete. You've examined the direction of your orientation today — inward or outward, receiving or giving. The final axis widens the frame further. Not just what you gave — but who you held in mind while you worked.	[{"label": "Continue", "target": "A3_INTRO"}]		
A3_INTRO	BRIDGE_2	reflection	Axis 3 of 3: Radius. Maslow's final insight — the one most people skip — was that the highest form of human functioning isn't self-actualization. It's self-transcendence: the shift from "what do I need?" to "what does this moment, or this person, or this team need from me?"	[{"label": "Continue", "target": "A3_Q1"}]		
A3_Q1	A3_INTRO	question	When you think about the most significant moment of your day — who was in the picture?	[{"label": "Mainly me — it was about my work, my performance, my outcome", "target": "A3_R1_SELF", "signal": "axis3:self"}, {"label": "Me and a specific person — someone I was working with or for", "target": "A3_R1_MID", "signal": "axis3:others"}, {"label": "My team — what happened affected all of us", "target": "A3_R1_OTHERS", "signal": "axis3:others"}, {"label": "The people downstream — the customer, the user, whoever this work is ultimately for", "target": "A3_R1_OTHERS", "signal": "axis3:others"}, {"label": "I'm not sure — I didn't think about it in terms of who was affected", "target": "A3_R1_SELF", "signal": "axis3:self"}]		
A3_R1_SELF	A3_Q1	reflection	A self-referential frame isn't a flaw — it's often just the default when work is stressful. What's worth noticing is whether the frame stayed narrow all day, or whether there were moments when the picture naturally widened.	[{"label": "Continue", "target": "A3_Q2_SELF"}]		axis3:self
A3_R1_MID	A3_Q1	reflection	Holding another person in mind while you work — even one — is not a small thing. It changes the quality of the attention, and often the quality of the output. The question is whether that awareness extended further at any point today.	[{"label": "Continue", "target": "A3_Q2_OTHERS"}]		axis3:others
A3_R1_OTHERS	A3_Q1	reflection	When the frame includes others — team, customers, the people downstream — the work takes on a different texture. The meaning isn't just in the task. It's in what the task is part of. That's not idealism; it's one of the most reliable sources of sustained engagement.	[{"label": "Continue", "target": "A3_Q2_OTHERS"}]		axis3:others
A3_Q2_SELF	A3_R1_SELF	question	Was there a moment today where someone else's difficulty crossed your awareness — and you chose how to respond to that awareness?	[{"label": "I noticed it but stayed focused on my own work — I had too much going on", "target": "A3_D1", "signal": "axis3:self"}, {"label": "I did something about it, even briefly", "target": "A3_D1", "signal": "axis3:others"}, {"label": "I noticed it and felt guilty I didn't do more", "target": "A3_D1", "signal": "axis3:self"}, {"label": "I don't think I registered anyone else struggling today", "target": "A3_D1", "signal": "axis3:self"}]		
A3_Q2_OTHERS	A3_R1_OTHERS	question	Think about a moment today where you were aware of what someone else needed — not what they asked for, but what you sensed they needed. What did you do with that awareness?	[{"label": "I responded to it — I adjusted what I was doing to help", "target": "A3_D1", "signal": "axis3:others"}, {"label": "I noticed it and mentioned it, even if I couldn't fully address it", "target": "A3_D1", "signal": "axis3:others"}, {"label": "I filed it away — I wasn't in a position to act on it then", "target": "A3_D1", "signal": "axis3:self"}, {"label": "I didn't trust the read — I wasn't sure if I was projecting", "target": "A3_D1", "signal": "axis3:self"}]		
A3_D1	A3_Q2_SELF	decision	[Route based on axis3 signal dominance]	[]	A3_Q3_SELF	
A3_Q3_SELF	A3_D1	question	If you zoom out to the purpose behind your work — what gave today's effort meaning, if anything did?	[{"label": "Completing things well — the quality mattered to me for its own sake", "target": "A3_R2_SELF", "signal": "axis3:self"}, {"label": "Moving something forward that other people are depending on", "target": "A3_R2_MID", "signal": "axis3:others"}, {"label": "Knowing the end user or customer benefits from this", "target": "A3_R2_OTHERS", "signal": "axis3:others"}, {"label": "I'm not sure today had a lot of meaning — it was more mechanical", "target": "A3_R2_SELF", "signal": "axis3:self"}]		
A3_Q3_OTHERS	A3_D1	question	When you were most effective today — what were you oriented toward?	[{"label": "Solving a problem that had been bothering me", "target": "A3_R2_SELF", "signal": "axis3:self"}, {"label": "Unblocking someone else so they could move forward", "target": "A3_R2_OTHERS", "signal": "axis3:others"}, {"label": "Producing something the team needed", "target": "A3_R2_OTHERS", "signal": "axis3:others"}, {"label": "Getting recognition for work I knew was solid", "target": "A3_R2_SELF", "signal": "axis3:self"}]		
A3_R2_SELF	A3_Q3_SELF	reflection	A self-contained frame of meaning is honest — not everyone connects their daily work to a larger purpose, and pretending to doesn't help. What's worth sitting with is whether there was a moment today where you glimpsed something beyond your own output — and if so, what it felt like.	[{"label": "Continue", "target": "A3_Q4"}]		axis3:self
A3_R2_MID	A3_Q3_SELF	reflection	The awareness of interdependence — that your work feeds into someone else's — is a quiet form of altruism. It doesn't require a grand sense of mission. Just the regular habit of asking: who needs this to land well, and what does that mean for how I approach it?	[{"label": "Continue", "target": "A3_Q4"}]		axis3:mixed
A3_R2_OTHERS	A3_Q3_SELF	reflection	Orienting toward others — not as a performance, but as a genuine frame — is what Maslow identified as the least understood stage of development. It's not self-sacrifice. It's the discovery that the work becomes more meaningful when you're doing it for something larger than your own performance record.	[{"label": "Continue", "target": "A3_Q4"}]		axis3:others
A3_Q4	A3_R2_SELF	question	One final question. Is there someone — a colleague, a direct report, a customer — whose experience of today you haven't fully considered yet?	[{"label": "Yes — and thinking about it now, I should probably follow up", "target": "A3_R3_OTHERS", "signal": "axis3:others"}, {"label": "Yes — I'm aware of it but I'm not sure what to do with it", "target": "A3_R3_MID", "signal": "axis3:others"}, {"label": "Not really — I think I was reasonably attentive to the people around me", "target": "A3_R3_OTHERS", "signal": "axis3:others"}, {"label": "I honestly haven't thought about anyone else's day today", "target": "A3_R3_SELF", "signal": "axis3:self"}]		
A3_R3_OTHERS	A3_Q4	reflection	That awareness — of someone whose experience you haven't fully considered — is the beginning of perspective-taking. Not the full act, just the opening move. It costs very little to carry that with you into tomorrow.	[{"label": "Continue", "target": "SUMMARY"}]		axis3:others
A3_R3_MID	A3_Q4	reflection	Not knowing what to do with an awareness doesn't make the awareness less valuable. Holding it without resolving it is sometimes the most honest response. The question for tomorrow is whether there's a small action — a message, a check-in — that would be better than continued uncertainty.	[{"label": "Continue", "target": "SUMMARY"}]		axis3:mixed
A3_R3_SELF	A3_Q4	reflection	There's no accusation in noticing that today was self-contained. Sometimes that's what the day required. What's worth asking — just once, quickly — is whether there's anyone who might have needed something from you today that went unnoticed. Not as guilt. As data.	[{"label": "Continue", "target": "SUMMARY"}]		axis3:self
SUMMARY	A3_R3_OTHERS	summary	Today's reflection: You moved through three lenses. On agency — you leaned {axis1.dominant}, which meant you tended to {axis1.behavior}. On orientation — your energy ran more toward {axis2.dominant}, showing up as {axis2.behavior}. On radius — your awareness was centered on {axis3.dominant}, which shaped {axis3.behavior}. No single profile is the goal. The goal is to see clearly — so that tomorrow's choices are a little more intentional than today's. That's the whole practice.	[{"label": "Close session", "target": "END"}]		
END	SUMMARY	end	Session complete. Same time tomorrow.	[]		
